Date,Price
2018-05-01,2.262
2018-04-01,2.085
2018-03-01,1.945
2018-02-01,1.967
2018-01-01,1.966
2017-12-01,1.774
2017-11-01,1.526
2017-10-01,1.504
2017-09-01,1.621
2017-08-01,1.393
2017-07-01,1.516
2017-06-01,1.279
2017-05-01,0.855
2017-04-01,0.907
2017-03-01,1.008
2017-02-01,1.023
2017-01-01,1.075
2016-12-01,1.072
2016-11-01,0.968
2016-10-01,0.61
2016-09-01,0.555
2016-08-01,0.608
2016-07-01,0.588
2016-06-01,0.553
2016-05-01,0.673
2016-04-01,0.787
2016-03-01,0.606
2016-02-01,0.57
2016-01-01,0.514
2015-12-01,0.603
2015-11-01,0.767
2015-10-01,0.724
2015-09-01,0.645
2015-08-01,0.602
2015-07-01,0.504
2015-06-01,0.539
2015-05-01,0.652
2015-04-01,0.763
2015-03-01,0.568
2015-02-01,0.544
2015-01-01,0.473
2014-12-01,1.186
2014-11-01,1.201
2014-10-01,1.373
2014-09-01,1.467
2014-08-01,1.372
2014-07-01,1.443
2014-06-01,1.458
2014-05-01,1.322
2014-04-01,1.424
2014-03-01,1.485
2014-02-01,1.419
2014-01-01,1.431
2013-12-01,1.382
2013-11-01,1.325
2013-10-01,1.328
2013-09-01,1.502
2013-08-01,1.579
2013-07-01,1.49
2013-06-01,1.577
2013-05-01,1.379
2013-04-01,1.123
2013-03-01,1.238
2013-02-01,1.241
2013-01-01,1.411
2012-12-01,1.33
2012-11-01,1.228
2012-10-01,1.275
2012-09-01,1.24
2012-08-01,1.31
2012-07-01,1.193
2012-06-01,1.173
2012-05-01,1.189
2012-04-01,1.517
2012-03-01,1.434
2012-02-01,1.302
2012-01-01,1.09
2011-12-01,1.111
2011-11-01,1.244
2011-10-01,1.29
2011-09-01,1.182
2011-08-01,1.44
2011-07-01,1.786
2011-06-01,2.095
2011-05-01,2.03
2011-04-01,2.249
2011-03-01,2.42
2011-02-01,2.384
2011-01-01,2.232
2010-12-01,2.196
2010-11-01,2.134
2010-10-01,1.77
2010-09-01,1.812
2010-08-01,1.817
2010-07-01,2.209
2010-06-01,2.251
2010-05-01,2.672
2010-04-01,2.909
2010-03-01,2.805
2010-02-01,1.971
2010-01-01,1.962
2009-12-01,2.272
2009-11-01,1.904
2009-10-01,2.203
2009-09-01,2.177
2009-08-01,2.225
2009-07-01,2.338
2009-06-01,2.25
2009-05-01,2.204
2009-04-01,1.801
2009-03-01,1.601
2009-02-01,1.882
2009-01-01,1.906
2008-12-01,1.515
2008-11-01,2.238
2008-10-01,2.644
2008-09-01,3.102
2008-08-01,2.95
2008-07-01,3.219
2008-06-01,3.438
2008-05-01,3.28
2008-04-01,2.975
2008-03-01,2.774
2008-02-01,3.023
2008-01-01,3.392
2007-12-01,3.84
2007-11-01,3.751
2007-10-01,4.206
2007-09-01,4.177
2007-08-01,4.366
2007-07-01,4.579
2007-06-01,4.639
2007-05-01,4.536
2007-04-01,4.165
2007-03-01,4.018
2007-02-01,3.899
2007-01-01,4.126
2006-12-01,3.989
2006-11-01,3.856
2006-10-01,3.992
2006-09-01,3.886
2006-08-01,4.011
2006-07-01,4.186
2006-06-01,4.452
2006-05-01,4.205
2006-04-01,4.291
2006-03-01,4.124
2006-02-01,4.074
2006-01-01,4.005
2005-12-01,3.878
2005-11-01,3.81
2005-10-01,3.782
2005-09-01,3.516
2005-08-01,3.307
2005-07-01,3.301
2005-06-01,3.162
2005-05-01,3.343
2005-04-01,3.448
2005-03-01,3.787
2005-02-01,3.366
2005-01-01,3.33
2004-12-01,3.459
2004-11-01,3.6
2004-10-01,3.693
2004-09-01,3.806
2004-08-01,3.736
2004-07-01,3.93
2004-06-01,4.002
2004-05-01,3.901
2004-04-01,3.6
2004-03-01,3.268
2004-02-01,3.067
2004-01-01,3.31
2003-12-01,3.639
2003-11-01,3.86
2003-10-01,3.817
2003-09-01,3.523
2003-08-01,3.571
2003-07-01,3.455
2003-06-01,3.353
2003-05-01,3.431
2003-04-01,3.981
2003-03-01,4.181
2003-02-01,3.982
2003-01-01,4.047
2002-12-01,3.708
2002-11-01,4.076
2002-10-01,4.081
2002-09-01,3.922
2002-08-01,4.237
2002-07-01,3.94
2002-06-01,4.463
2002-05-01,4.655
2002-04-01,4.741
2002-03-01,5.051
2002-02-01,4.304
2002-01-01,4.414
2001-12-01,4.24
2001-11-01,4.158
2001-10-01,3.783
2001-09-01,4.444
2001-08-01,4.659
2001-07-01,5.067
2001-06-01,5.45
2001-05-01,5.313
2001-04-01,5.186
2001-03-01,4.947
2001-02-01,5.005
2001-01-01,5.072
2000-12-01,5.34
2000-11-01,5.601
2000-10-01,5.898
2000-09-01,5.812
2000-08-01,5.857
2000-07-01,6.076
2000-06-01,6.009
2000-05-01,6.225
2000-04-01,6.307
2000-03-01,6.089
2000-02-01,6.174
2000-01-01,6.533
1999-12-01,6.209
1999-11-01,6.115
1999-10-01,5.999
1999-09-01,5.614
1999-08-01,5.712
1999-07-01,5.616
1999-06-01,5.315
1999-05-01,5.303
1999-04-01,4.952
1999-03-01,4.974
1999-02-01,5.372
1999-01-01,4.819
1998-12-01,4.777
1998-11-01,4.883
1998-10-01,4.781
1998-09-01,4.829
1998-08-01,5.774
1998-07-01,5.455
1998-06-01,5.318
1998-05-01,5.218
1998-04-01,5.233
1998-03-01,5.131
1998-02-01,5.245
1998-01-01,5.226
1997-12-01,5.398
1997-11-01,5.262
1997-10-01,4.956
1997-09-01,5.119
1997-08-01,5.329
1997-07-01,5.061
1997-06-01,5.477
1997-05-01,5.523
1997-04-01,5.818
1997-03-01,5.869
1997-02-01,5.302
1997-01-01,5.183
1996-12-01,5.16
1996-11-01,4.684
1996-10-01,5.177
1996-09-01,6.033
1996-08-01,6.337
1996-07-01,6.634
1996-06-01,6.722
1996-05-01,6.842
1996-04-01,6.869
1996-03-01,6.814
1996-02-01,6.403
1996-01-01,5.973
1995-12-01,6.349
1995-11-01,6.549
1995-10-01,7.035
1995-09-01,7.305
1995-08-01,7.487
1995-07-01,7.855
1995-06-01,7.46
1995-05-01,7.34
1995-04-01,7.93
1995-03-01,8.21
1995-02-01,8.06
1995-01-01,9.09
1994-12-01,9.01
1994-11-01,8.76
1994-10-01,8.36
