Date,Price
2018-05-01,1.73
2018-04-01,1.63
2018-03-01,1.6
2018-02-01,1.6
2018-01-01,1.61
2017-12-01,1.525
2017-11-01,1.31
2017-10-01,1.375
2017-09-01,1.42
2017-08-01,1.17
2017-07-01,1.16
2017-06-01,0.97
2017-05-01,0.65
2017-04-01,0.64
2017-03-01,0.645
2017-02-01,0.595
2017-01-01,0.595
2016-12-01,0.63
2016-11-01,0.59
2016-10-01,0.555
2016-09-01,0.535
2016-08-01,0.56
2016-07-01,0.565
2016-06-01,0.515
2016-05-01,0.605
2016-04-01,0.61
2016-03-01,0.54
2016-02-01,0.495
2016-01-01,0.445
2015-12-01,0.495
2015-11-01,0.55
2015-10-01,0.51
2015-09-01,0.49
2015-08-01,0.41
2015-07-01,0.41
2015-06-01,0.59
2015-05-01,0.67
2015-04-01,0.705
2015-03-01,0.58
2015-02-01,0.56
2015-01-01,0.49
2014-12-01,0.99
2014-11-01,0.975
2014-10-01,0.98
2014-09-01,1
2014-08-01,1.015
2014-07-01,1.03
2014-06-01,1.01
2014-05-01,0.985
2014-04-01,0.995
2014-03-01,0.96
2014-02-01,0.945
2014-01-01,0.94
2013-12-01,0.985
2013-11-01,0.995
2013-10-01,1
2013-09-01,1.045
2013-08-01,1.095
2013-07-01,1.13
2013-06-01,1.135
2013-05-01,1.075
2013-04-01,1.02
2013-03-01,1.03
2013-02-01,1
2013-01-01,1.06
2012-12-01,1.09
2012-11-01,1.07
2012-10-01,1.06
2012-09-01,1.07
2012-08-01,1.14
2012-07-01,1.06
2012-06-01,0.99
2012-05-01,1.03
2012-04-01,1.28
2012-03-01,1.09
2012-02-01,1.05
2012-01-01,0.98
2011-12-01,0.94
2011-11-01,0.92
2011-10-01,0.95
2011-09-01,0.84
2011-08-01,0.98
2011-07-01,1.22
2011-06-01,1.25
2011-05-01,1.25
2011-04-01,1.38
2011-03-01,1.37
2011-02-01,1.41
2011-01-01,1.3
2010-12-01,1.4
2010-11-01,1.37
2010-10-01,1.19
