,1,2,3,4,5,6,7,8,9,10,11,12
1980,,,,,,,,,,,13.08,12.53
1981,13.06,13.56,13.95,15.41,15.45,15.65,17.96,17.63,18.78,17.15,13.52,15.24
1982,16.17,15,15.21,15.08,14.88,15.98,15.83,13.79,13.08,12.3,11.6,10.42
1983,10.72,10.48,10.41,10.26,10.32,10.66,10.95,11.44,10.8,10.76,10.81,10.98
1984,11.02,11.53,12.14,12.52,13.39,13.42,13.24,12.68,12.4,11.81,11.28,10.9
1985,10.62,11.66,11.58,10.99,10.45,10.41,10.44,10.21,10.39,9.95,9.52,9.2
1986,9.8,9.49,8.97,8.56,8.95,8.8,8.88,8.8,9.04,9.01,8.72,8.63
1987,8.06,8.08,7.73,9.18,9.26,9.04,9.7,9.91,10.75,9.62,9.88,9.78
1988,9.02,8.77,9.14,9.41,9.49,9.5,9.75,10.23,9.97,9.61,9.98,10.27
1989,10.1,10.7,10.82,10.24,9.78,9.42,9.35,9.59,9.92,9.56,10.07,9.77
1990,10.02,11.09,11.29,12.23,11.39,11.09,11.04,10.63,11.25,10.88,10.43,10.27
1991,9.93,9.46,9.4,9.42,9.36,9.73,9.66,9.41,8.97,8.19,8.16,7.87
1992,7.93,7.97,8.52,8.49,7.91,7.45,6.53,6.53,7.35,6.76,7.37,7.34
1993,7.39,6.92,6.88,6.97,6.86,6.68,6.45,6.18,6.36,5.97,6.01,5.73
1994,5.4,6.12,7.47,7.44,8.01,8.82,8.96,8.32,8.36,8.55,8.81,8.99
1995,9.18,8.46,8.23,7.93,7.41,7.33,7.79,7.58,7.54,7.54,6.74,6.64
1996,6.33,6.87,7.02,7.09,7.01,7.05,6.96,6.6,6.28,5.59,5.1,5.44
1997,5.67,5.44,5.75,5.92,5.86,5.32,5.18,5.36,5.17,4.99,5.17,5.34
1998,5.09,5.26,5.11,5.32,5.21,5.28,5.42,5.62,4.78,4.69,5.03,4.76
1999,4.76,5.22,4.95,4.98,5.34,5.35,5.53,5.51,5.67,6.2,5.98,6.11
2000,6.38,6.29,6.13,6.17,6.17,6.04,6,5.92,5.76,5.75,5.59,5.3
2001,5.14,5.09,5.03,5.23,5.61,5.39,5.36,4.93,4.62,4.08,4.68,4.69
2002,4.71,4.58,5.28,5.05,4.9,4.67,4.3,4.49,4.2,4.34,4.39,4.06
2003,4.27,4.18,4.47,4.18,3.72,3.55,3.76,3.97,3.86,4.07,4.07,3.91
2004,3.71,3.47,3.35,3.81,3.96,4.07,4.07,3.83,4,3.94,3.85,3.74
2005,3.52,3.63,3.83,3.54,3.44,3.2,3.37,3.35,3.58,3.86,3.89,3.87
2006,3.98,4.02,4.13,4.38,4.31,4.53,4.25,4.03,3.88,4.08,3.85,3.95
2007,4.08,3.95,3.99,4.11,4.53,4.62,4.63,4.3,4.29,4.23,3.91,3.98
2008,3.5,3.4,2.93,3.04,3.34,3.42,3.37,3.03,3.13,2.8,2.48,1.69
2009,2.03,2.11,1.95,2.01,2.57,2.57,2.66,2.65,2.57,2.7,2.41,2.74
2010,2.46,2.54,2.9,3.09,2.55,2.32,2.44,2.08,2.01,2.06,2.48,2.45
2011,2.56,2.61,2.71,2.65,2.4,2.3,2.15,1.68,1.44,1.6,1.46,1.28
2012,1.36,1.44,1.57,1.69,1.31,1.21,1.16,1.38,1.31,1.34,1.31,1.37
2013,1.5,1.32,1.29,1.19,1.47,1.84,1.74,1.9,1.89,1.71,1.73,1.9
2014,1.57,1.63,1.69,1.67,1.5,1.57,1.52,1.52,1.66,1.56,1.46,1.34
2015,0.69,0.74,0.75,0.98,0.96,0.95,0.83,0.72,0.81,0.82,0.92,0.74
2016,0.68,0.64,0.66,0.89,0.79,0.62,0.65,0.66,0.59,0.68,1,1.16
2017,1.17,1.16,1.07,1.03,0.94,1.28,1.58,1.51,1.8,1.7,1.62,1.82
