"",BBK01.WZ9812,BBK01.WZ9812_FLAGS
"",Term structure of interest rates on listed Federal securities (method by Svensson) / residual maturity of 3.0 years / end of month,
unit,PROZENT,
unit multiplier,one,
last update,2018-05-02 14:39:40,
1972-09,6.92,
1972-10,7.96,
1972-11,7.99,
1972-12,8.26,
1973-01,7.87,
1973-02,7.82,
1973-03,8.23,
1973-04,8.66,
1973-05,9.41,
1973-06,9.18,
1973-07,10.12,
1973-08,9.35,
1973-09,9.52,
1973-10,9.31,
1973-11,9.35,
1973-12,9.21,
1974-01,9.24,
1974-02,10.02,
1974-03,9.98,
1974-04,10.01,
1974-05,10.25,
1974-06,9.83,
1974-07,9.85,
1974-08,9.95,
1974-09,9.97,
1974-10,9.92,
1974-11,9.14,
1974-12,9.01,
1975-01,7.96,
1975-02,7.49,
1975-03,7.55,
1975-04,7.27,
1975-05,6.99,
1975-06,7.13,
1975-07,7.05,
1975-08,7.10,
1975-09,7.13,
1975-10,7.31,
1975-11,7.21,
1975-12,7.17,
1976-01,6.92,
1976-02,6.50,
1976-03,6.47,
1976-04,6.56,
1976-05,6.97,
1976-06,7.02,
1976-07,7.30,
1976-08,7.34,
1976-09,7.15,
1976-10,7.04,
1976-11,6.60,
1976-12,6.72,
1977-01,6.46,
1977-02,6.39,
1977-03,5.95,
1977-04,5.65,
1977-05,5.55,
1977-06,5.49,
1977-07,5.27,
1977-08,5.06,
1977-09,5.06,
1977-10,5.09,
1977-11,5.08,
1977-12,4.98,
1978-01,4.80,
1978-02,4.61,
1978-03,4.62,
1978-04,4.61,
1978-05,4.86,
1978-06,5.14,
1978-07,5.65,
1978-08,5.70,
1978-09,5.56,
1978-10,5.57,
1978-11,5.68,
1978-12,5.80,
1979-01,6.05,
1979-02,6.33,
1979-03,6.53,
1979-04,7.07,
1979-05,7.56,
1979-06,7.70,
1979-07,7.63,
1979-08,7.56,
1979-09,7.65,
1979-10,8.13,
1979-11,8.02,
1979-12,8.03,
1980-01,8.29,
1980-02,8.98,
1980-03,9.93,
1980-04,9.06,
1980-05,8.54,
1980-06,8.02,
1980-07,7.78,
1980-08,7.91,
1980-09,8.22,
1980-10,8.48,
1980-11,8.73,
1980-12,9.06,
1981-01,9.23,
1981-02,10.59,
1981-03,10.31,
1981-04,10.68,
1981-05,11.89,
1981-06,11.36,
1981-07,11.64,
1981-08,12.00,
1981-09,11.36,
1981-10,10.59,
1981-11,9.77,
1981-12,9.94,
1982-01,9.89,
1982-02,9.78,
1982-03,9.28,
1982-04,8.75,
1982-05,8.78,
1982-06,9.39,
1982-07,9.27,
1982-08,8.74,
1982-09,8.45,
1982-10,7.93,
1982-11,7.99,
1982-12,7.50,
1983-01,7.19,
1983-02,7.09,
1983-03,6.73,
1983-04,6.95,
1983-05,7.56,
1983-06,7.77,
1983-07,7.84,
1983-08,8.06,
1983-09,8.06,
1983-10,7.78,
1983-11,7.91,
1983-12,8.00,
1984-01,7.78,
1984-02,7.39,
1984-03,7.28,
1984-04,7.30,
1984-05,7.58,
1984-06,7.55,
1984-07,7.66,
1984-08,7.30,
1984-09,7.05,
1984-10,6.77,
1984-11,6.49,
