DATE,BSCURT02DEQ160S
1960-01-01,88.2
1960-04-01,88.6
1960-07-01,88.8
1960-10-01,88.4
1961-01-01,88.2
1961-04-01,87.6
1961-07-01,87.8
1961-10-01,86.3
1962-01-01,87.2
1962-04-01,87.6
1962-07-01,86.9
1962-10-01,87.2
1963-01-01,86.2
1963-04-01,85.7
1963-07-01,85.9
1963-10-01,86.1
1964-01-01,87.3
1964-04-01,87.8
1964-07-01,87.8
1964-10-01,87.9
1965-01-01,88.4
1965-04-01,88
1965-07-01,87.7
1965-10-01,87.7
1966-01-01,86.6
1966-04-01,87.1
1966-07-01,85.6
1966-10-01,82.7
1967-01-01,78.6
1967-04-01,77.1
1967-07-01,78.6
1967-10-01,80.8
1968-01-01,82.6
1968-04-01,83.9
1968-07-01,85.6
1968-10-01,86.9
1969-01-01,88.6
1969-04-01,89.6
1969-07-01,89.9
1969-10-01,90.2
1970-01-01,92.4
1970-04-01,91.6
1970-07-01,90.7
1970-10-01,89.4
1971-01-01,88.3
1971-04-01,87.4
1971-07-01,86.2
1971-10-01,85.1
1972-01-01,84.6
1972-04-01,84.7
1972-07-01,85.1
1972-10-01,85.9
1973-01-01,87.4
1973-04-01,87.4
1973-07-01,87.1
1973-10-01,86.6
1974-01-01,84.9
1974-04-01,83.3
1974-07-01,82.1
1974-10-01,79.7
1975-01-01,76.6
1975-04-01,75.2
1975-07-01,75.3
1975-10-01,77
1976-01-01,78.4
1976-04-01,80.2
1976-07-01,80.9
1976-10-01,81.5
1977-01-01,81.3
1977-04-01,80.4
1977-07-01,79.6
1977-10-01,79.9
1978-01-01,80.4
1978-04-01,80.7
1978-07-01,82.6
1978-10-01,81.4
1979-01-01,83.2
1979-04-01,84.9
1979-07-01,85.6
1979-10-01,85.4
1980-01-01,85.3
1980-04-01,83.2
1980-07-01,81.5
1980-10-01,79.6
1981-01-01,79.6
1981-04-01,79.1
1981-07-01,78.8
1981-10-01,78.6
1982-01-01,78.3
1982-04-01,77.2
1982-07-01,74.8
1982-10-01,74.7
1983-01-01,76.5
1983-04-01,78
1983-07-01,79
1983-10-01,80.1
1984-01-01,81.6
1984-04-01,77.1
1984-07-01,80.8
1984-10-01,82.1
1985-01-01,82.4
1985-04-01,82.7
1985-07-01,84.7
1985-10-01,84.5
1986-01-01,85.1
1986-04-01,84.1
1986-07-01,85.3
1986-10-01,84.9
1987-01-01,84.3
1987-04-01,83.3
1987-07-01,84.4
1987-10-01,84.1
1988-01-01,84.6
1988-04-01,84.7
1988-07-01,85.8
1988-10-01,87
1989-01-01,88.2
1989-04-01,88.2
1989-07-01,88.9
1989-10-01,89.1
1990-01-01,89.3
1990-04-01,89.9
1990-07-01,89.5
1990-10-01,90
1991-01-01,90
1991-04-01,89.1
1991-07-01,88.7
1991-10-01,87.1
1992-01-01,86.4
1992-04-01,85.9
1992-07-01,84.3
1992-10-01,80.3
1993-01-01,79.3
1993-04-01,79.9
1993-07-01,78.8
1993-10-01,79
1994-01-01,80.6
1994-04-01,82.1
1994-07-01,83.9
1994-10-01,85.4
1995-01-01,85.3
1995-04-01,85.7
1995-07-01,84.9
1995-10-01,85.1
1996-01-01,83.1
1996-04-01,82
1996-07-01,81.9
1996-10-01,82.2
1997-01-01,83.7
1997-04-01,84
1997-07-01,84.8
1997-10-01,86.2
1998-01-01,86.6
1998-04-01,87.1
1998-07-01,86.7
1998-10-01,85.4
1999-01-01,85
1999-04-01,84.7
1999-07-01,84.8
1999-10-01,85.4
2000-01-01,86.5
2000-04-01,86.6
2000-07-01,87.2
2000-10-01,87.6
2001-01-01,87.1
2001-04-01,85.3
2001-07-01,84.4
2001-10-01,83.5
2002-01-01,82.1
2002-04-01,82
2002-07-01,82.5
2002-10-01,83.3
2003-01-01,82.5
2003-04-01,82.8
2003-07-01,81.9
2003-10-01,83.7
2004-01-01,83.6
2004-04-01,84
2004-07-01,84.5
2004-10-01,84.6
2005-01-01,84.3
2005-04-01,83.5
2005-07-01,84.1
2005-10-01,84.2
2006-01-01,84.7
2006-04-01,86.3
2006-07-01,87.4
2006-10-01,87.9
2007-01-01,87.8
2007-04-01,88.9
2007-07-01,88.3
2007-10-01,88.2
2008-01-01,88.3
2008-04-01,87.8
2008-07-01,86.7
2008-10-01,84.8
2009-01-01,76
2009-04-01,70.6
2009-07-01,70
2009-10-01,71.2
2010-01-01,74.4
2010-04-01,79.4
2010-07-01,81.9
2010-10-01,83.1
2011-01-01,85.8
2011-04-01,86.9
2011-07-01,87.2
2011-10-01,84.8
2012-01-01,85.6
2012-04-01,85.4
2012-07-01,83.0
2012-10-01,81.9
2013-01-01,82.8
2013-04-01,82.4
2013-07-01,82.9
2013-10-01,82.5
2014-01-01,85.1
2014-04-01,84.6
2014-07-01,84.6
2014-10-01,84.6
2015-01-01,84.7
2015-04-01,84.5
2015-07-01,84.3
2015-10-01,84.3
2016-01-01,84.5
2016-04-01,83.7
2016-07-01,84.4
2016-10-01,85.2
2017-01-01,85.4
2017-04-01,85.8
2017-07-01,86.5
2017-10-01,88.2
2018-01-01,88.5
2018-04-01,88.0
