"",BBK01.WZ9808,BBK01.WZ9808_FLAGS
"",Term structure of interest rates on listed Federal securities (method by Svensson) / residual maturity of 1.0 year / end of month,
unit,PROZENT,
unit multiplier,one,
last update,2018-05-02 14:39:40,
1972-09,6.70,
1972-10,7.04,
1972-11,9.09,
1972-12,6.92,
1973-01,6.42,
1973-02,7.05,
1973-03,6.97,
1973-04,8.33,
1973-05,8.95,
1973-06,10.61,
1973-07,10.21,
1973-08,9.15,
1973-09,9.36,
1973-10,8.84,
1973-11,10.19,
1973-12,10.39,
1974-01,9.37,
1974-02,10.43,
1974-03,10.05,
1974-04,10.04,
1974-05,8.80,
1974-06,9.89,
1974-07,9.49,
1974-08,9.69,
1974-09,9.70,
1974-10,9.32,
1974-11,8.73,
1974-12,8.65,
1975-01,7.48,
1975-02,6.50,
1975-03,6.42,
1975-04,5.94,
1975-05,5.58,
1975-06,5.69,
1975-07,5.42,
1975-08,5.34,
1975-09,5.57,
1975-10,6.25,
1975-11,5.92,
1975-12,5.78,
1976-01,5.23,
1976-02,4.81,
1976-03,4.58,
1976-04,4.37,
1976-05,4.93,
1976-06,5.00,
1976-07,6.00,
1976-08,5.60,
1976-09,5.53,
1976-10,5.61,
1976-11,5.08,
1976-12,5.31,
1977-01,5.35,
1977-02,5.13,
1977-03,4.70,
1977-04,4.54,
1977-05,4.46,
1977-06,4.34,
1977-07,4.52,
1977-08,4.38,
1977-09,4.27,
1977-10,4.27,
1977-11,4.28,
1977-12,4.06,
1978-01,3.99,
1978-02,3.66,
1978-03,3.58,
1978-04,3.52,
1978-05,3.84,
1978-06,3.98,
1978-07,4.00,
1978-08,4.38,
1978-09,4.30,
1978-10,3.90,
1978-11,4.24,
1978-12,4.21,
1979-01,4.47,
1979-02,4.62,
1979-03,4.89,
1979-04,5.96,
1979-05,6.84,
1979-06,6.94,
1979-07,7.13,
1979-08,7.20,
1979-09,7.91,
1979-10,8.43,
1979-11,8.42,
1979-12,8.40,
1980-01,8.40,
1980-02,9.15,
1980-03,10.00,
1980-04,9.55,
1980-05,9.35,
1980-06,8.66,
1980-07,8.21,
1980-08,8.24,
1980-09,8.56,
1980-10,8.64,
1980-11,8.99,
1980-12,9.41,
1981-01,9.39,
1981-02,11.23,
1981-03,11.74,
1981-04,11.67,
1981-05,12.69,
1981-06,12.53,
1981-07,12.69,
1981-08,13.17,
1981-09,12.12,
1981-10,11.36,
1981-11,10.10,
1981-12,10.43,
1982-01,10.24,
1982-02,9.97,
1982-03,9.36,
1982-04,8.95,
1982-05,8.78,
1982-06,9.39,
1982-07,9.18,
1982-08,8.55,
1982-09,7.98,
1982-10,7.47,
1982-11,7.27,
1982-12,6.60,
1983-01,5.88,
1983-02,5.89,
1983-03,5.48,
1983-04,5.51,
1983-05,6.15,
1983-06,6.39,
