Date,Price
1/6/2018,0.56
1/5/2018,0.552
1/4/2018,0.651
1/3/2018,0.55
1/2/2018,0.489
1/1/2018,0.451
1/1/2017,0.274
1/2/2017,0.264
1/3/2017,0.272
1/4/2017,0.2
1/5/2017,0.204
1/6/2017,0.282
1/7/2017,0.249
1/8/2017,0.206
1/9/2017,0.314
1/10/2017,0.457
1/11/2017,0.468
1/12/2017,0.405
1/1/2016,0.517
1/2/2016,0.509
1/3/2016,0.502
1/4/2016,0.494
1/5/2016,0.537
1/6/2016,0.453
1/7/2016,0.28
1/8/2016,0.307
1/9/2016,0.308
1/10/2016,0.349
1/11/2016,0.244
1/12/2016,0.262
1/1/2015,0.476
1/2/2015,0.486
1/3/2015,0.488
1/4/2015,0.501
1/5/2015,0.506
1/6/2015,0.532
1/7/2015,0.54
1/8/2015,0.522
1/9/2015,0.591
1/10/2015,0.584
1/11/2015,0.575
1/12/2015,0.545
1/1/2014,0.392
1/2/2014,0.388
1/3/2014,0.394
1/4/2014,0.401
1/5/2014,0.405
1/6/2014,0.464
1/7/2014,0.505
1/8/2014,0.536
1/9/2014,0.557
1/10/2014,0.507
1/11/2014,0.517
1/12/2014,0.486
1/1/2013,0.378
1/2/2013,0.382
1/3/2013,0.378
1/4/2013,0.372
1/5/2013,0.393
1/6/2013,0.388
1/7/2013,0.381
1/8/2013,0.388
1/9/2013,0.402
1/10/2013,0.398
1/11/2013,0.398
1/12/2013,0.402
