DATE,TCU
1967-01-01,89.3902
1967-02-01,87.9750
1967-03-01,87.0835
1967-04-01,87.5089
1967-05-01,86.3566
1967-06-01,85.9603
1967-07-01,85.3833
1967-08-01,86.6339
1967-09-01,86.1122
1967-10-01,86.4325
1967-11-01,87.2856
1967-12-01,87.8417
1968-01-01,87.3831
1968-02-01,87.3472
1968-03-01,87.2721
1968-04-01,87.0531
1968-05-01,87.6829
1968-06-01,87.6598
1968-07-01,87.1832
1968-08-01,87.0861
1968-09-01,87.0769
1968-10-01,86.9126
1968-11-01,87.6980
1968-12-01,87.6374
1969-01-01,87.8392
1969-02-01,88.0824
1969-03-01,88.4533
1969-04-01,87.8116
1969-05-01,87.1668
1969-06-01,87.7048
1969-07-01,87.8546
1969-08-01,87.7447
1969-09-01,87.4156
1969-10-01,87.1337
1969-11-01,86.0100
1969-12-01,85.4795
1970-01-01,83.6181
1970-02-01,83.3005
1970-03-01,82.9311
1970-04-01,82.4592
1970-05-01,82.1061
1970-06-01,81.5861
1970-07-01,81.5327
1970-08-01,81.1356
1970-09-01,80.3280
1970-10-01,78.4791
1970-11-01,77.7648
1970-12-01,79.3076
1971-01-01,79.6931
1971-02-01,79.3376
1971-03-01,79.0489
1971-04-01,79.2900
1971-05-01,79.4894
1971-06-01,79.6201
1971-07-01,79.1878
1971-08-01,78.5291
1971-09-01,79.6042
1971-10-01,79.9983
1971-11-01,80.1362
1971-12-01,80.8583
1972-01-01,82.5918
1972-02-01,83.1874
1972-03-01,83.5808
1972-04-01,84.2631
1972-05-01,84.0076
1972-06-01,84.0387
1972-07-01,83.7888
1972-08-01,84.6752
1972-09-01,85.0889
1972-10-01,85.9701
1972-11-01,86.7172
1972-12-01,87.4462
1973-01-01,87.7352
1973-02-01,88.7508
1973-03-01,88.4989
1973-04-01,88.0886
1973-05-01,88.3460
1973-06-01,88.1068
1973-07-01,88.1712
1973-08-01,87.7276
1973-09-01,88.2236
1973-10-01,88.5376
1973-11-01,88.7288
1973-12-01,88.2585
1974-01-01,87.3871
1974-02-01,86.8761
1974-03-01,86.6721
1974-04-01,86.1485
1974-05-01,86.6389
1974-06-01,86.3444
1974-07-01,86.1996
1974-08-01,85.1874
1974-09-01,85.0603
1974-10-01,84.5823
1974-11-01,81.6538
1974-12-01,78.6378
1975-01-01,77.4276
1975-02-01,75.5076
1975-03-01,74.5767
1975-04-01,74.5162
1975-05-01,74.2208
1975-06-01,74.5752
1975-07-01,75.1606
1975-08-01,75.8053
1975-09-01,76.5967
1975-10-01,76.7972
1975-11-01,76.8110
1975-12-01,77.6047
1976-01-01,78.5779
1976-02-01,79.1807
1976-03-01,79.0818
1976-04-01,79.3351
1976-05-01,79.5464
1976-06-01,79.3841
1976-07-01,79.6752
1976-08-01,80.0573
1976-09-01,80.1052
1976-10-01,79.9504
1976-11-01,80.9457
1976-12-01,81.5960
1977-01-01,80.9579
1977-02-01,81.9899
1977-03-01,82.8046
1977-04-01,83.3662
1977-05-01,83.8547
1977-06-01,84.2395
1977-07-01,84.1338
1977-08-01,83.9290
1977-09-01,84.1012
1977-10-01,84.0204
1977-11-01,83.8748
1977-12-01,83.7665
1978-01-01,82.3737
1978-02-01,82.5495
1978-03-01,83.8773
1978-04-01,85.3849
1978-05-01,85.4415
1978-06-01,85.7898
1978-07-01,85.5123
1978-08-01,85.5989
1978-09-01,85.5838
1978-10-01,86.0333
1978-11-01,86.4507
1978-12-01,86.6930
1979-01-01,85.9102
1979-02-01,86.1601
1979-03-01,86.2091
1979-04-01,85.0300
1979-05-01,85.5036
1979-06-01,85.2986
1979-07-01,84.9871
1979-08-01,84.2347
1979-09-01,84.1447
1979-10-01,84.4300
1979-11-01,84.1783
1979-12-01,84.1242
1980-01-01,84.3388
1980-02-01,84.1830
1980-03-01,83.7374
1980-04-01,81.8654
1980-05-01,79.7183
1980-06-01,78.5683
1980-07-01,77.7972
1980-08-01,77.9159
1980-09-01,79.0063
1980-10-01,79.8311
1980-11-01,81.0269
1980-12-01,81.2906
1981-01-01,80.6371
1981-02-01,80.0603
1981-03-01,80.2866
1981-04-01,79.7275
1981-05-01,79.9996
1981-06-01,80.1731
1981-07-01,80.4918
1981-08-01,80.2820
1981-09-01,79.6123
1981-10-01,78.8778
1981-11-01,77.7939
1981-12-01,76.7632
1982-01-01,75.0717
1982-02-01,76.3880
1982-03-01,75.6550
1982-04-01,74.8419
1982-05-01,74.2320
1982-06-01,73.8625
1982-07-01,73.5222
1982-08-01,72.7843
1982-09-01,72.4788
1982-10-01,71.7552
1982-11-01,71.4155
1982-12-01,70.8431
1983-01-01,72.1730
1983-02-01,71.6859
1983-03-01,72.2401
1983-04-01,73.0974
1983-05-01,73.5691
1983-06-01,73.9841
1983-07-01,75.0769
1983-08-01,75.8790
1983-09-01,76.9856
1983-10-01,77.5658
1983-11-01,77.7821
1983-12-01,78.1082
1984-01-01,79.5753
1984-02-01,79.8241
1984-03-01,80.0981
1984-04-01,80.4860
1984-05-01,80.7124
1984-06-01,80.8418
1984-07-01,80.9334
1984-08-01,80.8316
1984-09-01,80.5040
1984-10-01,80.1843
1984-11-01,80.3050
1984-12-01,80.2015
1985-01-01,79.8667
1985-02-01,79.9462
1985-03-01,79.8675
1985-04-01,79.4546
1985-05-01,79.3753
1985-06-01,79.2418
1985-07-01,78.5524
1985-08-01,78.7093
1985-09-01,78.8937
1985-10-01,78.4297
1985-11-01,78.5680
1985-12-01,79.2825
1986-01-01,79.5502
1986-02-01,78.9316
1986-03-01,78.3120
1986-04-01,78.2718
1986-05-01,78.3666
1986-06-01,78.0342
1986-07-01,78.3935
1986-08-01,78.2101
1986-09-01,78.2777
1986-10-01,78.5495
1986-11-01,78.8022
1986-12-01,79.3388
1987-01-01,78.9666
1987-02-01,79.8472
1987-03-01,79.8091
1987-04-01,80.1478
1987-05-01,80.5028
1987-06-01,80.7159
1987-07-01,81.1189
1987-08-01,81.6405
1987-09-01,81.7158
1987-10-01,82.7781
1987-11-01,83.1091
1987-12-01,83.4148
1988-01-01,83.3761
1988-02-01,83.6788
1988-03-01,83.8144
1988-04-01,84.2507
1988-05-01,84.1120
1988-06-01,84.2970
1988-07-01,84.3024
1988-08-01,84.6326
1988-09-01,84.3588
1988-10-01,84.7093
1988-11-01,84.7723
1988-12-01,85.0879
1989-01-01,85.2366
1989-02-01,84.7331
1989-03-01,84.7889
1989-04-01,84.7064
1989-05-01,83.9573
1989-06-01,83.8224
1989-07-01,82.8945
1989-08-01,83.4568
1989-09-01,82.9693
1989-10-01,82.7099
1989-11-01,82.7869
1989-12-01,83.1003
1990-01-01,82.3496
1990-02-01,82.9863
1990-03-01,83.2046
1990-04-01,82.8958
1990-05-01,82.9115
1990-06-01,83.0226
1990-07-01,82.7750
1990-08-01,82.8882
1990-09-01,82.8714
1990-10-01,82.1249
1990-11-01,81.0479
1990-12-01,80.4166
1991-01-01,79.9623
1991-02-01,79.3239
1991-03-01,78.8117
1991-04-01,78.8879
1991-05-01,79.5850
1991-06-01,80.2165
1991-07-01,80.2039
1991-08-01,80.1674
1991-09-01,80.7662
1991-10-01,80.5173
1991-11-01,80.2993
1991-12-01,79.8548
1992-01-01,79.2537
1992-02-01,79.6575
1992-03-01,80.1571
1992-04-01,80.5910
1992-05-01,80.6790
1992-06-01,80.5131
1992-07-01,81.0580
1992-08-01,80.4887
1992-09-01,80.5085
1992-10-01,80.9545
